indice_tiempo,grande,grande_no_integrada,mediana,pequenia
2014-01,86639,3545,44409,5879
2014-02,100526,7885,21999,2179
2014-03,81779,963,36880,1572
2014-04,74163,20169,45902,2236
2014-05,144216,22853,57941,4292
2014-06,162749,28387,53339,5569
2014-07,178544,31875,58220,6428
2014-08,179160,34123,58260,6780
2014-09,185129,38722,62628,8922
2014-10,185020,54705,60493,8679
2014-11,153049,23556,59273,7577
2014-12,81296,21435,57741,6604
2015-01,50957,17577,60040,5861
2015-02,20852,14419,56874,6921
2015-03,15826,13904,60065,6879
2015-04,37109,22298,62309,6723
2015-05,54150,22666,49210,5200
2015-06,110194,12710,62126,5415
2015-07,80015,27919,62816,6016
2015-08,122941,18826,60729,5997
2015-09,98747,17454,60238,6432
2015-10,105285,26041,61240,7114
2015-11,103175,21331,53551,4703
2015-12,70390,2012,6859,544
2016-01,68342,0,32896,1443
2016-02,75564,16280,53410,5847
2016-03,66466,14506,58107,6971
2016-04,109728,15504,59187,6989
2016-05,160188,27848,56577,6922
2016-06,142670,51155,59767,8182
2016-07,146718,38911,54617,8402
2016-08,170991,46077,60241,8077
2016-09,166923,55896,61866,7854
2016-10,179877,46198,60234,7473
2016-11,173533,43417,55632,8325
2016-12,48465,40284,55870,8458
2017-01,89034,33443,58473,8812
2017-02,75651,16265,62167,8118
2017-03,93983,8798,60802,8638
2017-04,142683,36233,64418,6098
2017-05,175488,44012,68880,8443
2017-06,171986,30860,71481,8388
2017-07,154897,37059,72172,8856
2017-08,76355,16076,68355,9098
2017-09,121899,11980,70991,9101
2017-10,183292,27520,72861,9422
2017-11,179197,42488,71363,9570
2017-12,146240,40320,70365,8802
2018-01,141597,25172,69038,8321
2018-02,78818,4359,66293,7536
2018-03,85783,13480,69979,8697
2018-04,112072,31807,73773,8773
2018-05,166472,46073,69278,8611
2018-06,148178,40957,68960,7331
2018-07,142064,41682,68784,7521
2018-08,37688,23093,67486,6582
2018-09,84994,16120,67213,5758
2018-10,49820,8714,67701,6215
2018-11,140291,42229,71142,5975
2018-12,18591,13504,68483,5986
2019-01,3837,5189,66807,7655
2019-02,20993,2603,62911,6630
2019-03,111721,14721,66565,5830
