id_pais,nom_pais,año,mes,cod_unimed,nom_unimed,caña,maiz,total
32,Argentina,2017,Enero,m3,metros cubicos,45438,45493,90931
32,Argentina,2017,Febrero,m3,metros cubicos,41967,42901,84869
32,Argentina,2017,Marzo,m3,metros cubicos,43996,43479,87474
32,Argentina,2017,Abril,m3,metros cubicos,42459,43978,86437
32,Argentina,2017,Mayo,m3,metros cubicos,40892,43913,84805
32,Argentina,2017,Junio,m3,metros cubicos,44062,44093,88154
32,Argentina,2017,Julio,m3,metros cubicos,43964,44081,88044
32,Argentina,2017,Agosto,m3,metros cubicos,45071,45399,90469
32,Argentina,2017,Septiembre,m3,metros cubicos,44750,44625,89375
32,Argentina,2017,Octubre,m3,metros cubicos,46091,46075,92166
32,Argentina,2017,Noviembre,m3,metros cubicos,44580,49531,94111
32,Argentina,2017,Diciembre,m3,metros cubicos,42862,57178,100040
32,Argentina,2018,Enero,m3,metros cubicos,43754,54716,98469
32,Argentina,2018,Febrero,m3,metros cubicos,43448,45030,88479
32,Argentina,2018,Marzo,m3,metros cubicos,39766,46509,86275
32,Argentina,2018,Abril,m3,metros cubicos,40648,49262,89910
32,Argentina,2018,Mayo,m3,metros cubicos,37678,49604,87282
32,Argentina,2018,Junio,m3,metros cubicos,41731,44874,86605
32,Argentina,2018,Julio,m3,metros cubicos,40091,47676,87767
32,Argentina,2018,Agosto,m3,metros cubicos,44586,46719,91305
32,Argentina,2018,Septiembre,m3,metros cubicos,40209,43295,83504
32,Argentina,2018,Octubre,m3,metros cubicos,43869,41902,85771
32,Argentina,2018,Noviembre,m3,metros cubicos,41194,44902,86096
32,Argentina,2018,Diciembre,m3,metros cubicos,43938,48468,92406
32,Argentina,2019,Enero,m3,metros cubicos,44471,44601,89072
32,Argentina,2019,Febrero,m3,metros cubicos,42525,43739,86264
32,Argentina,2019,Marzo,m3,metros cubicos,42741,46077,88818
32,Argentina,2019,Abril,m3,metros cubicos,40488,43836,84324
32,Argentina,2019,Mayo,m3,metros cubicos,44652,44810,89462
