PER,PROD,VENT
nov-09,0.0,0.0
dic-09,0.0,0.0
ene-10,0.0,0.0
feb-10,0.0,0.0
mar-10,0.0,0.0
abr-10,0.0,0.0
may-10,0.0,0.0
jun-10,0.0,0.0
jul-10,0.0,0.0
ago-10,0.0,0.0
sep-10,0.0,0.0
oct-10,0.0,0.0
nov-10,0.0,0.0
dic-10,0.0,0.0
ene-11,0.0,0.0
feb-11,0.0,0.0
mar-11,0.0,0.0
abr-11,0.0,0.0
may-11,0.0,0.0
jun-11,0.0,0.0
jul-11,0.0,0.0
ago-11,0.0,0.0
sep-11,0.0,0.0
oct-11,0.0,0.0
nov-11,0.0,0.0
dic-11,0.0,0.0
ene-12,0.0,0.0
feb-12,0.0,0.0
mar-12,0.0,0.0
abr-12,0.0,0.0
may-12,0.0,0.0
jun-12,0.0,0.0
jul-12,0.0,0.0
ago-12,0.0,0.0
sep-12,3.373,1.937
oct-12,5.526,5.515
nov-12,4.801,4.954
dic-12,6.8,4.989
ene-13,7.69,8.489
feb-13,7.287,8.277
mar-13,9.913,9.859
abr-13,10.349,9.908
may-13,12.026,12.387
jun-13,12.17,11.348
jul-13,12.458,13.005
ago-13,24.224,16.425
sep-13,15.269,17.383
oct-13,15.951,19.633
nov-13,18.786,21.794
dic-13,21.471,20.635
ene-14,22.848,23.126
feb-14,24.005,24.759
mar-14,23.942,23.438
abr-14,30.479,28.565
may-14,35.032,33.965
jun-14,32.735,28.602
jul-14,33.191,31.642
ago-14,34.043,28.936
sep-14,26.968,29.657
oct-14,36.784,34.277
nov-14,37.655,36.637
dic-14,33.575,41.296
ene-15,36.628,37.009
feb-15,34.054,37.057
mar-15,44.049,41.149
abr-15,39.129,38.594
may-15,35.651,37.854
jun-15,42.783,37.959
jul-15,40.661,39.528
ago-15,39.692,38.581
sep-15,35.391,38.986
oct-15,46.638,41.073
nov-15,40.45,41.72
dic-15,44.138,46.059
ene-16,45.024,44.399
feb-16,40.894,39.79
mar-16,45.938,42.603
abr-16,40.211,39.08
may-16,38.618,33.8
jun-16,31.724,34.775
jul-16,37.686,38.114
ago-16,45.347,42.712
sep-16,43.208,41.112
oct-16,35.583,43.274
nov-16,40.977,43.097
dic-16,44.629,47.77
ene-17,46.551,45.493
feb-17,44.489,42.901
mar-17,44.1,43.479
abr-17,45.218,43.978
may-17,40.222,43.913
jun-17,41.8,44.093
jul-17,43.396,44.081
ago-17,48.852,45.399
sep-17,47.483,44.625
oct-17,50.85,46.075
nov-17,47.841,49.531
dic-17,51.16,57.178
ene-18,50.443,54.716
feb-18,45.593,45.03
mar-18,49.519,46.509
abr-18,50.537,49.262
may-18,49.606,49.604
jun-18,49.484,44.874
jul-18,46.815,47.676
ago-18,47.953,46.719
sep-18,46.146,43.295
oct-18,48.608,41.902
nov-18,48.981,44.902
dic-18,51.933,48.468
ene-19,39.815,44.601
feb-19,41.685,43.739
mar-19,47.939,46.077
abr-19,49.952,43.836
may-19,47.848,44.81
jun-19,44.651,44.151
jul-19,38.717,44.596
ago-19,45.613,43.931
sep-19,48.041,44.773
oct-19,49.087,48.101
nov-19,47.571,45.1
dic-19,52.91,55.605
ene-20,54.415,55.964
feb-20,47.194,44.588
mar-20,47.952,40.75
abr-20,15.614,5.409
may-20,14.067,21.36
jun-20,32.633,28.281
jul-20,41.766,34.421
ago-20,33.226,33.336
sep-20,36.632,32.671
oct-20,23.108,24.706
nov-20,32.87,27.331
dic-20,44.097,40.668
ene-21,39.558,45.329
feb-21,44.291,40.01
mar-21,43.792,45.217
abr-21,46.454,45.624
may-21,40.553,38.426
jun-21,32.609,31.124
jul-21,42.64,38.013
ago-21,47.188,46.735
sep-21,49.201,46.529
oct-21,41.219,44.396
nov-21,50.456,47.855
dic-21,55.967,53.348
ene-22,50.048,51.19
feb-22,44.276,44.82
mar-22,49.321,48.435
abr-22,58.939,55.418
may-22,61.743,58.991
jun-22,58.476,54.973
jul-22,61.095,52.012
ago-22,64.853,56.127
sep-22,64.163,56.224
oct-22,67.269,62.46
nov-22,56.465,61.765
dic-22,66.204,69.119
ene-23,70.74,66.481
feb-23,60.501,57.929
mar-23,66.695,61.023
abr-23,66.442,62.451
may-23,65.314,62.343
jun-23,52.19,58.186
jul-23,67.602,61.382
ago-23,67.643,62.443
sep-23,66.632,62.496
oct-23,64.053,57.192
nov-23,58.692,57.881
dic-23,70.244,65.496
ene-24,68.971,67.238
feb-24,56.948,56.126
mar-24,58.154,45.788
abr-24,51.775,45.772
may-24,62.701,45.043
jun-24 ,64.51,44.459
jul-24 ,62.346,47.293
ago-24 ,58.536,46.588
sep-24 ,59.241,45.097
oct-24 ,58.552,48.628
nov-24 ,57.068,47.626
dic-24 ,70.137,56.133
ene-25 ,66.085,54.171
feb-25 ,60.768,51.407
mar-25 ,69.438,57.784
abr-25 ,61.478,51.38
may-25 ,68.666,61.896
