indice_tiempo,destino_bioetanol,destino_otros,total
2018-01,127018,21016,148033
2018-02,120435,16379,136814
2018-03,122314,21572,143885
2018-04,136903,21795,158698
2018-05,130278,20467,150745
2018-06,129047,19831,148878
2018-07,119416,18102,137518
2018-08,123428,25861,149289
2018-09,121535,19187,140722
2018-10,128307,18153,146460
2018-11,126599,17963,144562
2018-12,128486,18708,147194
2019-01,116238,19991,136229
2019-02,112369,18731,131100
2019-03,116267,21687,137954
2019-04,134030,27699,161729
2019-05,126180,21838,148018
2019-06,122734,22854,145588
