anio,mes,quincena,grande,grande_no_integrada,mediana,chica,contingencia,alicuota_nominal,alicuota_efectiva
2020,10,,48533,,48533,48533,,,
2019,12,,44121,44121,44121,44121,,,
2019,11,,38486,38486,38486,38486,,,
2019,10,,35635,35635,35635,35635,,,
2019,9,,33618,33618,33618,33618,,,
2019,8,,31549,31549,31549,31549,,,
2019,7,,31549,31549,31549,31549,,,
2019,6,,30482,30482,30482,30482,,,
2019,4,,28734,28734,28734,28734,,,
2019,2,,27660,27660,27660,27660,,,
2019,1,,28341,28341,28341,28341,,,
2018,12,,26832,26832,26832,26832,,,
2018,11,,28112,28112,28112,28112,,,
2018,10,,27529,27529,27529,27529,,,
2018,9,,26509,26509,26509,26509,,,
2018,8,,22095,22095,22095,22095,,,
2018,7,,20944,20944,20944,20944,,,
2018,6,,19498,19498,19498,19498,,,
2018,5,,18223,18223,18223,18223,,,
2018,4,,17957,17957,17957,17957,,,
2018,3,,17362,17362,17362,17362,,,
2018,2,,16524,16524,16524,16524,,,
2018,1,,15447,15447,15447,15447,,,
2017,12,,12897,14189,15353,15353,,,
2017,11,,12687,13958,15106,15106,,,
2017,10,,12347,14183,15722,15919,,0.00,0.00
2017,9,,12120,13924,15434,15628,,0.13,0.13
2017,8,,11794,13556,15028,15217,,0.00,0.00
2017,7,,11152,12860,14290,14480,,0.00,0.00
2017,6,,10768,12440,13842,14030,,0.00,0.00
2017,5,,10267,11903,13279,13468,,0.13,0.13
2017,4,,10457,12093,13462,13645,,7.05,6.58
2017,3,,11029,12697,14044,14218,,6.41,6.02
2017,2,,11672,13373,14736,14906,,5.32,5.05
2017,1,,11909,13615,14975,15139,,3.43,3.31
2016,12,1,10462,12140,13406,13567,,5.24,4.98
2016,12,2,10462,12140,13406,13567,,5.24,4.98
2016,11,1,10157,11786,13016,13172,,5.83,5.51
2016,11,2,10157,11786,13016,13172,,5.83,5.51
2016,10,1,9861,11443,12637,12788,,5.57,5.27
2016,10,2,9861,11443,12637,12788,,5.57,5.27
2016,9,1,9454.13,10971.19,12115.75,12260.4,,5.87,5.55
2016,9,2,9454.13,10971.19,12115.75,12260.4,,5.87,5.55
2016,8,1,9454.13,10971.19,12115.75,12260.4,,5.25,4.99
2016,8,2,9454.13,10971.19,12115.75,12260.4,,5.25,4.99
2016,7,1,9219.57,10649.51,11817.45,11958.53,,7.70,7.15
2016,7,2,9219.57,10649.51,11817.45,11958.53,,7.70,7.15
2016,6,1,9159.95,10532.8,11706.28,11849.21,,5.31,5.04
2016,6,2,9159.95,10532.86,11706.28,11849.21,,5.31,5.04
2016,5,1,9493.52,10862.38,12020.68,12163.13,,4.12,3.96
2016,5,2,9493.52,10862.38,12020.68,12163.13,,4.12,3.96
2016,4,1,9232.02,10561.54,11682.59,11819.12,,3.79,3.65
2016,4,2,9232.02,10561.54,11682.59,11819.12,,3.79,3.65
2016,3,1,9087.94,10397.92,11501.3,11642.56,,6.84,6.40
2016,3,2,9087.94,10397.92,11501.3,11642.56,,6.84,6.40
2016,2,1,7977.64,9194.18,10225.8,10367.4,,4.05,3.89
2016,2,2,7977.64,9194.18,10225.8,10367.4,,4.05,3.89
2016,1,1,7572.07,8735.98,9721.09,9855.2,,1.65,1.62
2016,1,2,7572.07,8735.98,9721.09,9855.2,,1.65,1.62
2015,12,1,5630.62,6616.93,7458.69,7567.72,,0.0,0.0
2015,12,2,5630.62,6616.93,7458.69,7567.72,,0.0,0.0
2015,11,1,5500.37,6473.24,7303.57,7410.78,,0.0,0.0
2015,11,2,5500.37,6473.24,7303.57,7410.78,,0.0,0.0
2015,10,1,5154.87,6100.46,6910.79,7020.25,,3.42,3.31
2015,10,2,5154.87,6100.46,6910.79,7020.25,,3.42,3.31
2015,9,1,5213.34,6160.59,6970.62,7081.21,,9.41,8.60
2015,9,2,5213.34,6160.59,6970.62,7081.21,,9.41,8.60
2015,8,1,5226.1,6140.22,6943.11,7051.21,,10.89,9.82
2015,8,2,5226.1,6140.22,6943.11,7051.21,,10.89,9.82
2015,7,1,5539.86,6472.64,7565.84,7670.25,,8.40,7.75
2015,7,2,5539.86,6472.64,7565.84,7670.25,,8.40,7.75
2015,6,1,5480.4,6400.28,6922.09,7031.95,,5.28,5.02
2015,6,2,5480.4,6400.28,6922.09,7031.95,,5.28,5.02
2015,5,1,5021.41,5947.66,6292.81,6392.68,,10.86,9.8
2015,5,2,5021.41,5947.66,6292.81,6392.68,,10.86,9.8
2015,4,1,4963.72,5879.97,6222.82,6322.1,,15.21,13.20
2015,4,2,4963.72,5879.97,6222.82,6322.1,,15.21,13.20
2015,3,1,5372.25,6358.79,6727.35,6833.57,,5.26,5
2015,3,2,5372.25,6358.79,6727.35,6833.57,,5.26,5
2015,2,1,5741.38,6790.12,7180.02,7290.35,,9.76,8.89
2015,2,2,5741.38,6790.12,7180.02,7290.35,,9.76,8.89
2015,1,1,5619.65,6648.32,7033.16,7143.63,,7.82,7.25
2015,1,2,5619.65,6648.32,7033.16,7143.63,,7.82,7.25
2014,12,1,5617.23,6645.35,7028.75,7138.55,,6.55,6.15
2014,12,2,5617.23,6645.35,7028.75,7138.55,,6.55,6.15
2014,11,1,5573,6593,6972,7080,6593,14.38,12.57
2014,11,2,5573,6593,6972,7080,6593,14.38,12.57
2014,10,1,5549,6565,6943,7050,6565,15.18,13.18
2014,10,2,5549,6565,6943,7050,6595,15.18,13.18
2014,9,1,5774,6812,7199,7307,6812,17.31,14.76
2014,9,2,5774,6812,7199,7307,6812,17.31,14.76
2014,8,1,5904,6965,7363,7475,6965,14.31,12.52
2014,8,2,5904,6965,7363,7475,6965,14.31,12.52
2014,7,1,6025,7107,7517,7632,7107,12.56,11.16
2014,7,2,6025,7107,7517,7632,7107,12.56,11.16
2014,6,1,5871.68,6927.91,7330.8,7446.09,6927.91,10.32,9.36
2014,6,2,5871.68,6927.91,7330.8,7446.09,6927.91,10.32,9.36
2014,5,1,5991.74,7068.91,7481.35,7599.65,7068.91,10.34,9.37
2014,5,2,5991.74,7068.91,7481.35,7599.65,7068.91,10.34,9.37
2014,4,1,6098.01,7193.61,7614.69,7735.1,7193.61,7.30,6.80
2014,4,2,6098.01,7193.61,7614.69,7735.1,7193.61,7.30,6.80
2014,3,1,5745.43,6845.31,7204.62,7257,6845.31,12.45,11.07
2014,3,2,5745.43,6845.31,7204.62,7257,6845.31,12.45,11.07
2014,2,1,5319.84,6222,6670.95,6719.44,6222,27.79,21.75
2014,2,2,5319.84,6222,6670.95,6719.44,6222,27.79,21.75
2014,1,1,4902.93,5734.98,6148,6192,5734.98,19.78,16.52
2014,1,2,4902.93,5734.98,6148,6192,5734.98,19.78,16.52
2013,12,1,4714.35,5514.41,5911.68,5954.66,5514.41,19.19,16.10
2013,12,2,4714.35,5514.41,5911.68,5954.66,5514.41,19.19,16.10
2013,11,1,4533.04,5193.24,5684.31,5725.64,5193.24,22.74,18.53
2013,11,2,4533.04,5193.24,5684.31,5725.64,5193.24,22.91,18.64
2013,10,1,4312.03,4981.88,5367,5404.87,4981.88,26.02,20.65
2013,10,2,4312.03,4981.88,5367,5404.87,4981.88,26.59,21.01
2013,9,1,4323.96,4643.88,5249.04,5336,,29.73,22.91
2013,9,2,4323.96,4643.88,5249.04,5336,,26.44,20.91
2013,8,1,4484.82,4706.95,5296.19,5403.07,,26.16,20.73
2013,8,2,4484.82,4706.95,5296.19,5403.07,,25.54,20.34
2013,7,1,4508.98,,5376.02,5506.94,,25.23,20.15
2013,7,2,4508.98,,5376.02,5506.94,,26.92,21.21
2013,6,1,4397.1,,5331.04,5393.02,,26.35,20.85
2013,6,2,4397.1,,5331.04,5393.02,,25.78,20.50
2013,5,1,4650.09,,5472.02,5477.28,,26.06,20.67
2013,5,2,4650.09,,5472.02,5477.28,,25.74,20.47
2013,4,1,4653.59,,5497.25,5506.37,,26.16,20.74
2013,4,2,4653.59,,5497.25,5506.37,,26.16,20.74
2013,3,1,4653.59,,5497.25,5506.3,,23.98,19.34
2013,3,2,4653.59,,5497.25,5506.37,,26.16,20.74
2013,2,1,4660.13,,5425.89,5484.28,,19.98,16.66
2013,2,2,4660.13,,5425.89,5484.28,,23.07,18.74
2013,1,1,4516.9,,5276.44,5334.87,,20.90,17.29
2013,1,2,4516.9,,5276.44,5334.87,,22.34,18.26
2012,12,1,4401,,5014,5222,,,
2012,12,2,4387.22,,4763.06,5108.07,,,
2012,11,1,4661,,4661,4661,,,
2012,11,2,4565.34,,5182.53,5333.29,,,
