anio,mes,cania,maiz,fecha_data
2017,10,16.873,13.623,2017-10-31
2017,9,16.805,13.609,2017-09-30
2017,8,16.591,13.383,2017-08-31
2017,7,16.488,12.939,2017-07-31
2017,6,16.07,12.942,2017-06-30
2017,5,15.305,12.848,2017-05-31
2017,4,14.576,12.858,2017-04-30
2017,3,14.114,13.452,2017-03-31
2017,2,13.442,13.51,2017-02-28
2017,1,13.36,13.203,2017-01-31
2016,12,13.335,12.784,2016-12-31
2016,11,13.309,12.63,2016-11-30
2016,10,13.296,12.457,2016-10-31
2016,9,13.398,12.628,2016-09-30
2016,8,13.335,12.555,2016-08-31
2016,7,13.042,12.473,2016-07-31
2016,6,12.774,11.872,2016-06-30
2016,5,12.456,11.295,2016-05-31
2016,4,11.055,10.374,2016-04-30
2016,3,10.915,9.431,2016-03-31
2016,2,10.648,8.421,2016-02-29
2016,1,10.324,8.02,2016-01-31
2015,12,9.832,7.638,2015-12-31
2015,11,9.819,7.472,2015-11-30
2015,10,9.794,7.347,2015-10-31
2015,9,9.73,7.296,2015-09-30
2015,8,9.628,7.402,2015-08-31
2015,7,9.437,7.171,2015-07-31
2015,6,8.987,7.032,2015-06-30
2015,5,8.559,6.965,2015-05-31
2015,4,8.558,6.954,2015-04-30
2015,3,8.534,7.016,2015-03-31
2015,2,8.613,7.385,2015-02-28
2015,1,8.622,7.774,2015-01-31
2014,12,8.595,8.183,2014-12-31
2014,11,8.614,8.614,2014-11-30
2014,10,9.067,9.067,2014-10-31
