indice_tiempo,biodisel_produccion,biodisel_ventas_al_corte,biodisel_otras_ventas_al_mercado_interno,biodisel_exportaciones,bioetanol_total_produccion,bioetanol_total_ventas_corte,bioetanol_en_base_a_maiz_produccion,bioetanol_base_maiz_ventas_corte,bioetanol_base_cania_azucar_produccion,bioetanol_base_cania_azucar_ventas_corte
2008-01-01,711864.0,,265.0,680220.0,,,,,,
2009-01-01,1179103.0,,426.0,1142283.0,,,,,,
2010-01-01,1820385.0,503325.0,5241.0,1342319.0,124930.0,117806.0,,,124930.0,117806.0
2011-01-01,2429964.0,739486.0,9256.0,1649352.0,173623.0,165392.0,,,173623.0,165392.0
2012-01-01,2456578.0,824394.0,50400.0,1543093.0,250489.0,237843.0,20500.0,17395.0,229989.0,220448.0
2013-01-01,1997809.0,884358.0,618.0,1149259.0,472380.0,474752.0,167594.0,169143.0,304786.0,305609.0
2014-01-01,2584290.0,969456.0,685.0,1602695.0,671121.0,663102.0,371257.0,364900.0,299864.0,298202.0
2015-01-01,1810657.0,1012958.0,1403.0,788226.0,815407.0,803640.0,479264.0,475569.0,336144.0,328071.0
2016-01-01,2659275.4499999997,1033329.62,3067.75,1626263.6900000002,889944.1754300001,910891.01848,489837.71555,490526.76974,400108.68984,420365.24874
2017-01-01,2871435.0,1173294.9600000002,238.11,1650119.05,1105106.8379677758,1076874.605773592,551963.5269528812,550743.6104182036,553143.3110148945,526130.995355388
2018-01-01,2428997.0599999996,1098458.21,1433.29,1401316.8599999999,1113780.8,1063867.8,585618.64,562957.42,528162.16,500910.38
2019-01-01,2147270.48,1070961.49,65767.18000000001,1015006.8200000001,1073495.49,1063417.991,553828.7899999999,549319.798,519666.70000000007,514098.19299999997
2020-01-01,1157364.11,477523.6919999999,21335.58,597204.88,808724.5299999998,764328.666,423574.83,389484.302,385149.69999999995,374844.36399999994
2021-01-01,1723665.4900000002,438156.272649,1258.74,1269569.58,1008057.0,998506.0,533928.0,522606.0,474130.0,475902.0
2022-01-01,1909618.4,711801.429,2512.76,1236409.8499999999,1158841.3499999999,1126158.2659999998,702852.91,671533.286,455988.44000000006,454624.98
2023-01-01,831268.5499999999,580501.9849999999,8302.400000000001,284600.0,1156702.96,1136854.597,776747.39,735303.0460000001,379955.56999999995,401551.551
2024-01-01,1162696.58,775366.032,1850.0399999999997,383337.98000000004,1207517.36,1124029.94,728939.75,595789.8969999999,478577.61000000004,528240.0430000001
